OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
410,49618,2004/06/17,8,43,"process points, Timber Estates Slide, Field verified by NCGS,",083.42373593W,35.35680914N,49617,,WL,,,,,,
411,49619,2004/06/22,8,44,"process points, Midnight Trail Embankment Failure, Field verified by NCGS,",083.43257703W,35.35418978N,49618,,WL,,,,,,
412,49620,2004/06/22,8,45,"process points, Alarka Creek Slide, Field verified by NCGS,",083.43310005W,35.35709529N,49619,,WL,,,,,,
413,49621,2003/12/11,8,46,"process points, Maggie Valley Debris Flow  Dogwood-Wildcat Run, Field verified by NCGS, Fatality:  Patricia Jones, killed in home",083.08498995W,35.50481869N,49620,,WL,,,,,,
414,49622,2001/02/21,8,47,"process points, Occoneechee Mountain Rock Slide, Field verified by NCGS,",079.11838912W,36.06519127N,49621,,WL,,,,,,
415,49623,2004/04/28,8,48,"process points, Soco Mountain Overlook, Field verified by NCGS,",083.13615400W,35.51233200N,49622,,WL,,,,,,
421,49629,2004/06/30,8,75,"process points, Charley Branch #2, Field verified by NCGS,",083.55189000W,35.34235000N,49628,,WL,,,,,,
422,49630,2004/06/30,8,76,"process points, Charley Branch #5, Field verified by NCGS,",083.55680809W,35.33827596N,49629,,WL,,,,,,
423,49631,2004/07/23,8,77,"process points, Buffalo Cove Rd Rock Slide, Field verified by NCGS,",081.52594222W,36.07917773N,49630,,WL,,,,,,
425,49633,2005/06/20,8,646,"process points, Oak Ave Stop 4, Field verified by NCGS,",082.07134000W,35.91741000N,49632,,WL,,,,,,
426,49634,2005/06/20,8,647,"process points, Oak Ave Stop 5, Field verified by NCGS,",082.07100000W,35.91740000N,49633,,WL,,,,,,
427,49635,2005/06/20,8,648,"process points, Oak Ave Stop 6, Field verified by NCGS,",082.07051531W,35.91748564N,49634,,WL,,,,,,
429,49637,2006/04/27,8,587,"process points, Stewart Cove 1, Field verified by NCGS,",083.20787000W,35.12292000N,49636,,WL,,,,,,
430,49638,2006/04/27,8,588,"process points, Stewart Cove 2, Field verified by NCGS,",083.20626000W,35.12360000N,49637,,WL,,,,,,
437,49645,2004/07/23,8,78,"process points, Winding Stair Mtn Rock Slide, Field verified by NCGS,",081.52381000W,36.05748000N,49644,,WL,,,,,,
438,49646,2005/01/26,8,510,"process points, BBR-005, Field verified by NCGS,",083.23721000W,35.52788000N,49645,,WL,,,,,,
443,49651,2005/01/26,8,515,"process points, BBR-010, Field verified by NCGS,",083.15910064W,35.51239700N,49650,,WL,,,,,,
444,49652,2005/02/01,8,517,"process points, Bear Lake Setzer, Field verified by NCGS,",083.06272000W,35.24599000N,49651,,WL,,,,,,
